VIET_awkward_encounter_public;Awkward Encounter in Public;Rencontre maladroite en public;;;;;;;;;;;;x
VIET_secret_relax_spot_desc;This character recently found a place just for themselves, a private secluded location where they can peacefuly rest by themselves, without worrying about the rest of the world.;;;;;;;;;;;;;x
VIET_opinion_showed_secret_relax_spot;Showed Me a Wonderful Place to Relax;;;;;;;;;;;;;x
VIET_opinion_showed_secret_relax_spot_lover;Showed Me a Wonderful Place to Relax;;;;;;;;;;;;;x
VIET_secret_relax_spot_sexy;Secret Place to Meet with Lover;;;;;;;;;;;;;x
VIET_secret_relax_spot_sexy_desc;No one knows where this person goes when they want some alone time with their lover(s), but rumor has it that it is a very nice, lovely, intimate place.;;;;;;;;;;;;;x
VIET_fun_in_the_sun;Fun in the Sun;;;;;;;;;;;;;x
VIET_fun_in_the_sun_desc;Visiting the beach and having a good time - it was definitely worth it to this character!;;;;;;;;;;;;;x
VIET_opinion_beach_trip;Went on Beach Trip Together;;;;;;;;;;;;;x
VIET_province_youth_prank;Hysteria Caused by Recent Prank;;;;;;;;;;;;;x
VIET_province_youth_prank_desc;For a number months, a band of reckless, boorish youths played a prank in one of the towns of this region, pretending to be the voices and sounsd of demonic forces. They have thankfully been caught, but rumors of this incident does not reflect well on the inhabitants of this area.;;;;;;;;;;;;;x
VIET_province_shadow_hysteria;Reports of Shadow People;;;;;;;;;;;;;x
VIET_province_shadow_hysteria_desc;Villagers reported seeing humanoid shadows appearing at night, trying to kill those who are unsuspecting and sleeping. Many wiser and more level-headed persons believe this is just a case of mass hysteria.;;;;;;;;;;;;;x
VIET_province_night_ghosts_disappear;No More Ghosts;;;;;;;;;;;;;x
VIET_province_night_ghosts_disappear_desc;Ghosts supposedly used to haunt an area of this region, though some doubted the truth of this. Either way, it seems the reports of ghostly beings have suddenly stopped, and some fear the ghosts have disappeared due to some nefarious reason.;;;;;;;;;;;;;x
VIET_province_succubus_night_paralysis;Succubus Attack;;;;;;;;;;;;;x
VIET_province_succubus_night_paralysis_desc;They say a bewitchingly beautiful creature - a demon, most likely - attacks the people in this region in their sleep, forcing them to copulate with her in the most sinful ways possible. There are scholars who believe this can be explained through natural philosophy as bizarre dreams, but many disagree.;;;;;;;;;;;;;x
VIET_valerian_herb;Valerian Herbal Tea;;;;;;;;;;;;;x
VIET_valerian_herb_desc;Ever since the days of the ancient Greeks and Rmoans, the herb valerian has been given to those who are suffering from insomnia or difficulty falling asleep.;;;;;;;;;;;;;x
VIET_no_empathy;Lack of Empathy;;;;;;;;;;;;;x
xxxxxxxxx;xxxxx;;;;;;;;;;;;;x
xxxxxxxxx;xxxxx;;;;;;;;;;;;;x
